Sample in Buffer,Sample in Window,TRIGGER,daq_stream[0]_1[31:0],daq_stream[1]_1[31:0],daq_stream_k[0]_1[3:0],daq_stream_k[1]_1[3:0],daq_data_type[0][1:0],daq_data_type[1][1:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1b90b121,000000bc,0,1,0,3
1,1,0,6027c657,000000bc,0,1,0,3
2,2,0,9508d022,000000bc,0,1,0,3
3,3,0,c971bc45,000000bc,0,1,0,3
4,4,0,40fb0b4c,000000bc,0,1,0,3
5,5,0,7c72a1ca,000000bc,0,1,0,3
6,6,0,fdcd402d,000000bc,0,1,0,3
7,7,0,2e082791,000000bc,0,1,0,3
8,8,0,d1c74820,000000bc,0,1,0,3
9,9,0,f4345437,000000bc,0,1,0,3
10,10,0,07f3d98c,000000bc,0,1,0,3
11,11,0,00000000,000000bc,0,1,0,3
12,12,0,016717dc,000000bc,1,1,0,3
13,13,0,000000bc,000000bc,1,1,2,3
14,14,0,000000bc,000000bc,1,1,3,3
15,15,0,000000bc,000000bc,1,1,3,3
16,16,0,0000003c,000000bc,1,1,1,3
17,17,0,03c00000,000000bc,0,1,0,3
18,18,0,4ff23729,000000bc,0,1,0,3
19,19,0,0125e088,000000bc,0,1,0,3
20,20,0,03c06000,000000bc,0,1,0,3
21,21,0,3237f000,000000bc,0,1,0,3
22,22,0,8ff80020,000000bc,0,1,0,3
23,23,0,f8fff000,000000bc,0,1,0,3
24,24,0,fd8fee3f,000000bc,0,1,0,3
25,25,0,3fd0ff13,000000bc,0,1,0,3
26,26,0,f0008002,000000bc,0,1,0,3
27,27,0,013ff8ff,000000bc,0,1,0,3
28,28,0,ff93fe00,000000bc,0,1,0,3
29,29,0,cffe3fe4,000000bc,0,1,0,3
30,30,0,080073fb,000000bc,0,1,0,3
31,31,0,01cfef00,000000bc,0,1,0,3
32,32,0,0004ff40,000000bc,0,1,0,3
33,33,0,7002cfec,000000bc,0,1,0,3
34,34,0,063fccfe,000000bc,0,1,0,3
35,35,0,ffd00140,000000bc,0,1,0,3
36,36,0,8ff0001c,000000bc,0,1,0,3
37,37,0,08fea000,000000bc,0,1,0,3
38,38,0,fe8ffa00,000000bc,0,1,0,3
39,39,0,3ff00013,000000bc,0,1,0,3
40,40,0,c0004006,000000bc,0,1,0,3
41,41,0,f43fecff,000000bc,0,1,0,3
42,42,0,ffc3fd8f,000000bc,0,1,0,3
43,43,0,cffe3fb8,000000bc,0,1,0,3
44,44,0,14003002,000000bc,0,1,0,3
45,45,0,fecfee00,000000bc,0,1,0,3
